journal	year	month	class	type	URL	subject	first_author	google_translate
journal of animal science	2018	2	monogastric	original article	https://academic.oup.com/jas/article/96/2/570/4828152	"Effect of high doses of Natuphos E 5,000 G phytase on growth performance of nursery pigs "	KiahMGourley	º¸À° µÅÁöÀÇ ¼ºÀå ¼º´É¿¡ Natuphos E 5000 G ÇÇÅ¸ °í¿ë·®ÀÇ È¿°ú
journal of animal science	2018	2	monogastric	original article	https://academic.oup.com/jas/article/96/2/579/4827968	Evaluation of conjugated linoleic acid supplementation on markers of joint inflammation and cartilage metabolism in young horses challenged with lipopolysaccharide 	AmandaNBradbery	ÀşÀº ¸»ÀÇ °üÀı ¿°Áõ ¹× ¿¬°ñ ´ë»çÀÇ ¸¶Ä¿¿¡ °ø¾× ¸®³î·¹»ê º¸ÃæÁ¦ÀÇ Æò°¡´Â ÁöÁú ´Ù´ç·ù¿¡ µµÀü
journal of animal science	2018	2	monogastric	original article	https://academic.oup.com/jas/article/96/2/591/4833885	Standardized ileal digestible valine:lysine dose response effects in 25- to 45-kg pigs under commercial conditions 	MarcioADGoncalves	Ç¥ÁØÈ­ È¸Àå ¼ÒÈ­ ¹ß¸° »ó¿ë Á¶°Ç ÇÏ¿¡¼­ 45 kg µÅÁö 25- ¶óÀÌ½Å ¿ë·® ¹İÀÀ È¿°ú
journal of animal science	2018	2	monogastric	original article	https://academic.oup.com/jas/article/96/2/600/4827736	"Feed preference of weaned pigs fed diets containing soybean meal, Brassica napus canola meal, or Brassica juncea canola meal "	JoseLLandero	"´ëµÎ¹Ú, ºê¶ó ½ÃÄ« napus Ä³³î¶ó ½Ä»ç, ¶Ç´Â ºê¶ó ½ÃÄ« ½ÃÄ« »ç°Ç Ä³³î¶ó ½Ä»ç¸¦ Æ÷ÇÔ ÀÌÀ¯ÀÚµ· °ø±Ş ±ÔÁ¤ ½ÄÀÇ ±Ş½Ä È¯°æ"
journal of animal science	2018	2	ruminant	original article	https://academic.oup.com/jas/article/96/2/653/4829573	Energy costs of feeding excess protein from corn-based by-products to finishing cattle 	JennySJennings	¿¡¼­ ¿©ºĞÀÇ ´Ü¹éÁú °ø±ŞÀÇ ¿¡³ÊÁö ºñ¿ë ºÎ»ê¹° ¸¶¹«¸® ¼Ò¿¡ ¿Á¼ö¼ö ±â¹İ
journal of animal science	2018	2	ruminant	original article	https://academic.oup.com/jas/article/96/2/670/4829313	"Dietary protein reduction on microbial protein, amino acid digestibility, and body retention in beef cattle: 2. Amino acid intestinal absorption and their efficiency for whole-body deposition "	LDSMariz	"À°¿ìÀÇ ¹Ì»ı¹° ´Ü¹éÁú, ¾Æ¹Ì³ë»ê ¼ÒÈ­À² ¹× ½ÅÃ¼ À¯Áö¿¡½ÄÀÌ ´Ü¹éÁú °¨¼Ò 2. ¾Æ¹Ì³ë»ê Àå³» Èí¼ö ¹× Àü½Å ÁõÂøÀ»À§ÇÑ È¿À²¼º"
journal of animal science	2018	2	ruminant	original article	https://academic.oup.com/jas/article/96/2/684/4828210	"Effects of a live yeast in natural-program finishing feedlot diets on growth performance, digestibility, carcass characteristics, and feeding behavior "	LaurenAOvinge	"¼ºÀå ¼º´É, ¼ÒÈ­À², µµÃ¼ Æ¯¼º ¹× ¸ÔÀÌ Çàµ¿¿¡ ÀÚ¿¬ ÇÁ·Î±×·¥ ¸¶¹«¸® »çÀ°Àå »ç·á¿¡¼­ »ì¾ÆÀÖ´Â È¿¸ğÀÇ È¿°ú"
journal of animal science	2018	2	ruminant	original article	https://academic.oup.com/jas/article/96/2/694/4828034	Test of conditions that affect in vitro production of volatile fatty acids and gases 	LMJudd	ÈÖ¹ß¼º Áö¹æ»ê ¹× °¡½ºÀÇ Ã¼¿Ü »ı»ê¿¡ ¿µÇâÀ» ¹ÌÄ¡´Â Á¶°ÇÀÇ ½ÃÇè
journal of animal science	2018	2	ruminant	original article	https://academic.oup.com/jas/article/96/2/705/4828072	Nutritional evaluation and ruminal fermentation patterns of kochia compared with alfalfa and orchardgrass hays and ephedra and cheatgrass compared with orchardgrass hay as alternative arid-land forages for beef cattle in two dual-flow continuous culture system experiments 	LorraynyGalorodaSilva	µÎ °³ÀÇ ÀÌÁß Èå¸§ ¿¬¼Ó ¹è¾ç ½Ã½ºÅÛ ½ÇÇè À°¿ì ´ë¾È °ÇÁ¶ ·£µå »ç·á·Î¼­ orchardgrass °ÇÃÊ ºñÇØ ¾ËÆÈÆÄ orchardgrass ÇìÀÌÁî ¹× ¿¡Æä cheatgrass°ú ºñ±³ kochia ¿µ¾ç Æò°¡ ¹İÃßÀ§ ¹ßÈ¿ ÆĞÅÏ
journal of animal science	2018	2	ruminant	original article	https://academic.oup.com/jas/article/96/2/715/4828030	Forms of selenium in vitamin-mineral mixes differentially affect serum prolactin concentration and hepatic glutamine synthetase activity of steers grazing endophyte-infected tall fescue 	YangJia	ºñÅ¸¹Î - ¹Ì³×¶ö ¼¿·¹´½ÀÇ ÇüÅÂ´Â Â÷µî Ç÷Áß ÇÁ·Î¶ôÆ¾ ³óµµ¿Í ³»»ı¿¡ °¨¿°µÈ ÅçÆä½ºÅ¥À» ¹æ¸ñÇÏ´Â ¼ÒµéÀÇ °£ ±Û·çÅ¸¹Î ÇÕ¼º È¿¼ÒÀÇ È°µ¿¿¡ ¿µÇâÀ» ¹ÌÄ¥ ¹Í½º
journal of animal science	2018	2	monogastric	review	https://academic.oup.com/jas/article/96/2/728/4834025	Preslaughter handling practices and their effects on animal welfare and pork quality 	LuigiFaucitano	µµÃà ÀüÀÇ Ã³¸® °üÇà ¹× µ¿¹° º¹Áö¿Í µÅÁö °í±â Ç°Áú¿¡ ¹ÌÄ¡´Â ¿µÇâ
journal of animal science	2018	2	ruminant	review	https://academic.oup.com/jas/article/96/2/739/4827744	RUMINANT NUTRITION SYMPOSIUM: Effects of postruminal flows of protein and amino acids on small intestinal starch digestion in beef cattle 	DWBrake	¹İÃß µ¿¹° ¿µ¾ç ½ÉÆ÷Áö¾ö À°¿ìÀÇ ¼ÒÀå ÀüºĞ ¼ÒÈ­¿¡ ´Ü¹éÁú ¹× ¾Æ¹Ì³ë»ê postruminal Èå¸§ÀÇ ¿µÇâ
journal of animal science	2018	2	ruminant	review	https://academic.oup.com/jas/article/96/2/751/4828173	RUMINANT NUTRITION SYMPOSIUM: Improving the efficiency of nutrient utilization to optimize livestock performance 	PhilipeMoriel	¹İÃß µ¿¹° ¿µ¾ç ½ÉÆ÷Áö¾ö : °¡ÃàÀÇ ¼º´ÉÀ» ÃÖÀûÈ­ÇÏ±â À§ÇØ ¿µ¾ç¼Ò ÀÌ¿ë È¿À² Çâ»ó
journal of animal science	2018	2	ruminant	review	https://academic.oup.com/jas/article/96/2/752/4827738	RUMINNAT NUTRITION SYMPOSIUM: Tiny but mighty: the role of the rumen microbes in livestock production 	KristiMCammack	RUMINNAT ¿µ¾ç ½ÉÆ÷Áö¾ö : ÀÛÀºÇÏÁö¸¸ °­·ÂÇÑ : °¡Ãà »ı»êÀÇ ¹İÃßÀ§ ¹Ì»ı¹°ÀÇ ¿ªÇÒ
journal of animal science	2018	3	monogastric	original article	https://academic.oup.com/jas/article/96/3/1084/4829314	Effect of level of soluble fiber and n-6/n-3 fatty acid ratio on performance of rabbit does and their litters 	RebecaDelgado	Åä³¢ÀÇ ¼º´É¿¡ ¼ö¿ë¼º ¼¶À¯ ¹× N-6 / n-3 Áö¹æ»ê ºñÀ² ¼öÁØÀÇ È¿°ú ¾Ê´Â ±×µéÀÇ ´ã°¡
journal of animal science	2018	3	monogastric	original article	https://academic.oup.com/jas/article/96/3/1101/4941809	"Determining the available phosphorus release of Natuphos E 5,000 G phytase for nursery pigs "	KMGourley	º¸À° µÅÁö ¿ë NatuphosÀÇ E 5000 G ÇÇÅ¸ÀÇ »ç¿ë °¡´ÉÇÑ ÀÎ ¹æÃâÀ» °áÁ¤
journal of animal science	2018	3	monogastric	original article	https://academic.oup.com/jas/article/96/3/1108/4942246	Dietary chlorogenic acid improves growth performance of weaned pigs through maintaining antioxidant capacity and intestinal digestion and absorption function 	JialiChen	½ÄÀÌ Å¬·Î·Î°Õ»êÀº Ç×»êÈ­ Á¦ ¿ë·® Àå³» ¼ÒÈ­ Èí¼ö ±â´ÉÀ» À¯ÁöÇÏ´Â ÀÌÀ¯ µÅÁö ¼ºÀå ¼º´ÉÀ» Çâ»ó
journal of animal science	2018	3	monogastric	original article	https://academic.oup.com/jas/article/96/3/1119/4827564	Nutritive value of multienzyme supplemented cold-pressed camelina cake for pigs 	TAWoyengo	multienzymeÀÇ ¿µ¾ç °¡Ä¡´Â µÅÁö¿¡ ´ëÇÑ ³Ã°£ ´©¸£¸é Ä«¸á ¸®³ªÀÇ ÄÉÀÌÅ©¸¦ º¸Ãæ
journal of animal science	2018	3	monogastric	original article	https://academic.oup.com/jas/article/96/3/1130/4823829	"The effects of dietary sulfur amino acids on growth performance, intestinal morphology, enzyme activity, and nutrient transporters in weaning piglets "	EnyanZong	"ÀÌÀ¯ ÀÚµ· ¼ºÀå ¼º°ú¿¡½ÄÀÌ À¯È² ¾Æ¹Ì³ë»ê Àå ÇüÅÂ, È¿¼Ò È°¼º, ±×¸®°í ¿µ¾ç¼ÒÀÇ ¼ö¼Û È¿°ú"
journal of animal science	2018	3	ruminant	original article	https://academic.oup.com/jas/article/96/3/1140/4958948	Relationship between chemical composition of native forage and nutrient digestibility by Tibetan sheep on the Qinghai<U+2013>Tibetan Plateau 	ChuntaoYang	ÄªÇÏÀÌ <U + 2013> Æ¼ºª °í¿ø¿¡ Æ¼º£Æ®¾î ¾ç¿¡ ÀÇÇØ ±âº» »ç·á ¹× ¿µ¾ç¼Ò ¼ÒÈ­À²ÀÇ È­ÇĞ ¼ººĞ°úÀÇ °ü°è
journal of animal science	2018	3	ruminant	original article	https://academic.oup.com/jas/article/96/3/1150/4835233	"Effects of spent mushroom Cordyceps militaris supplementation on apparent digestibility, rumen fermentation, and blood metabolite parameters of goats "	PinChanjula	"¼Òºñ ¹ö¼¸ µ¿ÃæÇÏÃÊÀÇ È¿°ú´Â ¸í¹é ¼ÒÈ­À², ¹İÃßÀ§ ¹ßÈ¿ ¹× ¿°¼ÒÀÇ Ç÷Áß ´ë»ç ÆÄ¶ó¹ÌÅÍ º¸ÃæÀÇ militaris"
journal of animal science	2018	3	ruminant	original article	https://academic.oup.com/jas/article/96/3/1159/4913357	Effect of varying trace mineral supplementation of steers with or without hormone implants on growth and carcass characteristics 	EmmaKNiedermayer	¶Ç´Â ¼ºÀå È£¸£¸ó Ä¿½º Æ¯¼º¿¡ ÀÌ½Ä¾øÀÌ ¼ö¼Û¾ÆÁö ¹Ì·® ¹Ì³×¶ö º¸Ãæ º¯È­ÀÇ ¿µÇâ
journal of animal science	2018	3	ruminant	original article	https://academic.oup.com/jas/article/96/3/1171/4958923	Effects of feeding monensin to bred heifers fed in a drylot on nutrient and energy balance 	CourtneyNHemphill	¿µ¾ç¼Ò ¹× ¿¡³ÊÁö ±ÕÇü¿¡ drylot ±ŞÀü ÀÚ¶õ ¾Ï¼Ò¿¡ °ø±Ş ³Ù½Å È¿°ú
journal of animal science	2018	3	ruminant	original article	https://academic.oup.com/jas/article/96/3/1181/4818671	"Prepartum fatty acid supplementation in sheep. II. Supplementation of eicosapentaenoic acid and docosahexaenoic acid during late gestation alters the fatty acid profile of plasma, colostrum, milk and adipose tissue, and increases lipogenic gene expression of adipose tissue "	DanielleNicoleColeman	"¾çÀÇ Prepartum Áö¹æ»ê º¸ÃæÁ¦. II. ÀÓ½Å ÈÄ±â ¿¡ÀÌÄÚ »ç ÆæÅ¸ ¿£ »ê ¹× µµÄÚ »ç Çí»ç ¿£ »êÀÇ º¸ÃæÁ¦ ÇÃ¶óÁî¸¶ ÃÊÀ¯, ¿ìÀ¯ Áö¹æ Á¶Á÷ÀÇ Áö¹æ»ê ÇÁ·ÎÇÊÀ» º¯°æÇÏ°í, Áö¹æ Á¶Á÷ÀÇ Áö¹æÀ» »ı¼º Áõ°¡ À¯ÀüÀÚ ¹ßÇö"
journal of animal science	2018	4	monogastric	original article	https://academic.oup.com/jas/article/96/4/1330/4970682	"Effect of supplemental yeast cell walls on growth performance, gut mucosal glutathione pathway, proteolytic enzymes and transporters in growing broiler chickens "	NingLiu	"¼ºÀå À°°èÀÇ ¼ºÀå ¼º´É, Àå Á¡¸· ±Û·çÅ¸Æ¼¿Â °æ·Î¿¡ Ãß°¡ È¿¸ğ ¼¼Æ÷º®, ´Ü¹éÁú ºĞÇØ È¿¼Ò ¹× ¼ö¼Û Ã¼ÀÇ È¿°ú"
journal of animal science	2018	4	monogastric	original article	https://academic.oup.com/jas/article/96/4/1338/4877106	"Chemical composition, energy, and amino acid digestibility in 7 cottonseed co-products fed to growing pigs "	DLMa	"¼ºÀå µÅÁö¿¡ °ø±Ş Á¶¼º, ¿¡³ÊÁö ¹× ¾Æ¹Ì³ë»ê ¼ÒÈ­¼º 7 ¸ñÈ­¾¾¿¡¼­ ºÎ»ê¹°"
journal of animal science	2018	4	ruminant	original article	https://academic.oup.com/jas/article/96/4/1350/4924839	Meta-analysis of endophyte-infected tall fescue effects on cattle growth rates 	DouglasMLiebe	°¡Ãà ¼ºÀå·ü¿¡ ³»»ı¿¡ °¨¿°µÈ ÅçÆä½ºÅ¥ È¿°úÀÇ ¸ŞÅ¸ ºĞ¼®
journal of animal science	2018	4	ruminant	original article	https://academic.oup.com/jas/article/96/4/1362/4868597	Enteric methane production and ruminal fermentation of forage brassica diets fed in continuous culture 	SandraLeanneDillard	Àå³» ¸ŞÅº »ı»ê ¹× ¿¬¼Ó ¹è¾ç¿¡ °ø±Ş »ç·á ºê¶ó ½ÃÄ« »ç·áÀÇ ¹İÃßÀ§ ¹ßÈ¿
journal of animal science	2018	4	monogastric	original article	https://academic.oup.com/jas/article/96/4/1419/4868607	Increased dietary protein or free amino acids supply for heat stress pigs: effect on performance and carcass traits 	AMorales	Áõ°¡½ÄÀÌ ´Ü¹éÁú ¶Ç´Â ¿­ ½ºÆ®·¹½º µÅÁö ¿ë À¯¸® ¾Æ¹Ì³ë»ê °ø±Ş : ¼º´É°ú µµÃ¼ ÇüÁú¿¡ ¿µÇâ
journal of animal science	2018	4	monogastric	original article	https://academic.oup.com/jas/article/96/4/1430/4908682	Tail-end dehulling of canola meal improves apparent and standardized total tract digestibility of phosphorus when fed to growing pigs 	GustavoAMejicanos	¼ºÀå µÅÁö¿¡ °ø±ŞÇÏ´Â °æ¿ì Ä«³î¶ó ½Ä»çÀÇ ²¿¸® ¿£µå dehullingÀÌ ÀÎÀÇ ¸í¹éÇÑ Ç¥ÁØÈ­ µÈ ÀüÃ¼ ±â°ü ¼ÒÈ­À²À» Çâ»ó
journal of animal science	2018	4	monogastric	original article	https://academic.oup.com/jas/article/96/4/1441/4907944	Net energy content of canola meal fed to growing pigs and effect of experimental methodology on energy values 	JWKim	Ä«³î¶ó ½Ä»çÀÇ ¼ø ¿¡³ÊÁö ÇÔ·®ÀÌ Áõ°¡ÇÏ´Â µÅÁö¿Í ¿¡³ÊÁö °ª¿¡ ´ëÇÑ ½ÇÇè ¹æ¹ıÀÇ È¿°ú¿¡ °ø±Ş
journal of animal science	2018	4	ruminant	original article	https://academic.oup.com/jas/article/96/4/1474/4870023	"Effects of dietary energy level and intake of corn by-product-based diets on newly received growing cattle: antibody production, acute phase protein response, stress, and immunocompetency of healthy and morbid animals "	TylerJSpore	"¿Á¼ö¼ö »ç·áÀÇ ¿¡³ÊÁö ¼öÁØ°ú ¼·ÃëÀÇ È¿°ú´Â ºÎ»ê¹° ±â¹İ »õ·Ó°Ô ¼ö½Å µÈ ¼ºÀå °¡Ãà¿¡ ´ÙÀÌ¾îÆ® : Ç×Ã¼ »ı»ê, ±Ş¼º±â ´Ü¹éÁú ¹İÀÀ, ½ºÆ®·¹½º, ±×¸®°í °Ç°­ÇÏ°í º´Àû µ¿¹°ÀÇ immunocompetency"
journal of animal science	2018	4	ruminant	original article	https://academic.oup.com/jas/article/96/4/1484/4877031	Influence of distiller¡¯s dried grains with solubles on ram lamb growth and reproductive traits 	AlisonRCranei	·¥ ¾ç°í±â ¼ºÀå°ú »ı½Ä Æ¯¼º¿¡ ´ëÇÑ ¿ëÇØ¼º°ú Áõ·ù±âÀÇ °ÇÁ¶ °î¹°ÀÇ ¿µÇâ
journal of animal science	2018	4	ruminant	original article	https://academic.oup.com/jas/article/96/4/1495/4871917	Liver transcriptomic and plasma metabolomic profiles of fattening lambs are modified by feed restriction during the suckling period 	AlbaSantos	ºñÀ° ¾çÀÇ °£ transcriptomic ÇÃ¶óÁî¸¶ ´ë»ç ¹°ÁúÀº À¯¾Æ °ø±Ş ±â°£ Á¦ÇÑ¿¡ ÀÇÇØ ¼öÁ¤
journal of animal science	2018	4	ruminant	original article	https://academic.oup.com/jas/article/96/4/1508/4868578	"Effect of lemon leaves on energy and C<U+2013>N balances, methane emission, and milk performance in Murciano-Granadina dairy goats "	CarlosFernandez	·¹¸ó È¿°ú ¿¡³ÊÁö ÀÙ°ú C <U + 2013> N ÀÜ¾× Murciano-Granadina ³«³ó ??¿°¼Ò ¸ŞÅº ¹æÃâ ¿ìÀ¯ ¼º´É
journal of animal science	2018	4	general	original article	https://academic.oup.com/jas/article/96/4/1531/4970664	BIG DATA ANALYTICS AND PRECISION ANIMAL AGRICULTURE SYMPOSIUM: Data to decisions 	BJWhite	ºò µ¥ÀÌÅÍ ºĞ¼® ¹× Á¤¹Ğ µ¿¹° ³ó¾÷ ½ÉÆ÷Áö¾ö : ÀÇ»ç °áÁ¤¿¡ µ¥ÀÌÅÍ
journal of animal science	2018	4	general	original article	https://academic.oup.com/jas/article/96/4/1540/4828311	BIG DATA ANALYTICS AND PRECISION ANIMAL AGRICULTURE SYMPOSIUM: Machine learning and data mining advance predictive big data analysis in precision animal agriculture 	GotaMorota	ºò µ¥ÀÌÅÍ ºĞ¼® ¹× Á¤¹Ğ µ¿¹° ³ó¾÷ ½ÉÆ÷Áö¾ö : Á¤¹Ğ µ¿¹° ³ó¾÷ ±â°è ÇĞ½À ¹× µ¥ÀÌÅÍ ¸¶ÀÌ´×À» ¹Ì¸® ¿¹Ãø ºò µ¥ÀÌÅÍ ºĞ¼®
journal of animal science	2018	4	general	original article	https://academic.oup.com/jas/article/96/4/1551/4925439	The essence of appetite: does olfactory receptor variation play a role? 	ErinEConnor	½Ä¿åÀÇ º»Áú : ÈÄ°¢ ¼ö¿ëÃ¼ÀÇ º¯È­°¡ Áß¿äÇÑ ¿ªÇÒÀ» ÇÏ´Â°¡?
